Time	Energy
0	0	0
30	44211.08999999998	17
60	138036.42999999993	44
90	261883.69000000024	65
120	380472.66000000044	101
150	514600.22	118
180	679694.0200000003	149
210	856223.0300000006	219
240	1026687.2999999975	246
270	1188513.989999995	298
300	1361019.479999992	320
330	1504968.239999989	347
359	1641638.5199999867	363
