ID	s	d	ts	te	LLC	Pid	size	band usage
----------------------------------------------------
0	0	5	0	184	184	0	600	12	0	0	5	7	1
1	0	4	0	100	100	0	60	20	1	0	9	10	1
2	1	5	0	47	47	0	600	16	2	0	4	10	1
3	0	5	0	101	101	1	600	10	1	0	4	5	1
4	1	4	0	26	26	0	60	3	0	0	1	2	1
5	2	5	0	6	6	0	600	5	1	0	3	1	1
7	0	4	0	40	40	0	60	7	0	0	3	4	1
9	0	3	0	43	43	1	600	6	1	0	2	3	1
10	0	5	0	114	114	0	60	9	0	0	4	5	1
11	0	3	0	8	8	0	60	5	2	0	1	2	1
12	2	5	0	4	4	0	600	4	0	0	4	0	1
14	1	4	18	20	2	0	600	2	0	0	1	1	1
15	2	5	18	35	17	0	600	7	0	0	3	4	1
16	0	5	18	116	98	1	600	26	0	0	14	12	1
17	2	5	18	32	14	5	2400	4	0	0	3	1	1
18	0	5	18	122	104	8	3000	26	0	0	11	15	1
21	0	3	18	45	27	0	2400	5	2	0	2	1	1
22	0	5	18	66	48	0	60	7	0	0	3	4	1
23	0	4	18	46	28	0	600	6	1	0	1	4	1
24	2	5	33	35	2	1	600	2	0	0	2	0	1
28	2	5	33	35	2	0	60	2	1	0	1	0	1
31	1	4	33	40	7	1	600	2	0	0	1	1	1
32	2	4	33	184	151	1	3000	35	1	0	16	18	1
34	0	3	47	152	105	3	3000	2	1	0	0	1	1
36	1	3	47	83	36	0	60	18	8	0	6	4	1
37	2	4	47	86	39	1	600	12	0	0	1	11	1
38	2	5	47	61	14	0	60	2	1	0	0	1	1
39	0	4	67	170	103	0	60	8	1	0	1	6	1
40	1	4	67	90	23	1	600	2	0	0	1	1	1
41	2	5	67	72	5	0	600	3	1	0	1	1	1
43	0	5	67	273	206	9	3000	7	1	0	3	3	1
44	2	5	78	107	29	0	60	8	1	0	0	7	1
45	2	5	78	107	29	1	600	4	1	0	0	3	1
48	0	3	78	146	68	0	60	3	3	0	0	0	1
51	2	5	98	100	2	1	600	2	0	0	1	1	1
52	2	4	98	251	153	0	600	29	1	0	13	15	1
53	0	5	98	222	124	0	60	16	1	0	6	9	1
54	1	5	98	140	42	0	60	17	0	0	7	10	1
55	2	5	98	100	2	0	60	2	1	0	0	1	1
57	1	4	118	120	2	1	600	3	0	0	3	0	1
58	2	5	118	143	25	0	60	2	0	0	1	1	1
59	2	5	118	150	32	1	600	4	0	0	2	2	1
61	1	3	118	216	98	0	60	11	3	0	6	2	1
62	1	4	118	120	2	0	60	3	1	0	2	0	1
63	2	3	118	120	2	0	60	2	2	0	0	0	1
64	2	4	118	201	83	0	60	25	2	0	18	5	1
66	0	5	118	194	76	0	60	7	0	0	4	3	1
67	0	4	118	170	52	0	600	11	0	0	6	5	1
68	2	5	118	147	29	0	60	6	1	0	0	5	1
69	1	3	118	150	32	1	600	5	1	0	4	0	1
71	2	4	135	173	38	0	60	15	1	0	5	9	1
74	2	5	135	140	5	1	600	2	0	0	1	1	1
75	1	4	135	170	35	1	600	4	0	0	2	2	1
76	1	4	135	170	35	0	60	4	0	0	1	3	1
77	0	5	135	261	126	1	600	20	0	0	14	6	1
79	2	5	135	147	12	0	60	2	1	0	0	1	1
80	1	5	135	261	126	1	600	21	1	0	7	13	1
81	2	5	135	140	5	0	60	2	1	0	0	1	1
83	0	5	152	273	121	3	3000	27	0	0	14	13	1
85	1	4	152	180	28	2	2400	3	0	0	1	2	1
88	1	4	171	214	43	3	2400	7	0	0	3	4	1
92	0	3	171	188	17	0	60	5	1	0	1	3	1
93	1	4	171	181	10	1	600	2	0	0	1	1	1
94	0	3	171	218	47	5	2400	4	1	0	2	1	1
95	1	5	171	267	96	0	600	17	0	0	6	11	1
96	2	5	171	180	9	1	600	2	0	0	1	1	1
98	0	5	171	268	97	0	60	24	4	0	9	11	1
100	1	4	171	204	33	9	3000	5	1	0	1	3	1
101	0	5	171	267	96	0	600	27	1	0	12	14	1
102	2	5	171	187	16	0	600	8	1	0	0	7	1
104	0	4	190	319	129	0	600	5	0	0	2	3	1
106	1	4	190	193	3	0	60	4	0	0	4	0	1
107	0	5	190	312	122	0	60	5	1	0	2	2	1
108	1	4	190	195	5	1	600	5	0	0	4	1	1
109	1	5	190	304	114	0	60	18	1	0	8	9	1
