ID	s	d	ts	te	LLC	size	curr node	packetID	copies
----------------------------------------------------
7	0	4	0	134	134	60	0	0	1
6	0	5	0	34	34	3000	0	8	1
1	0	4	0	133	133	60	0	0	1
9	0	3	0	168	168	600	1	1	1
6	0	5	0	165	165	3000	1	2	1
5	2	5	0	214	214	600	2	0	1
12	2	5	0	213	213	600	2	1	1
9	0	3	0	202	202	600	10	1	1
12	2	5	0	195	195	600	13	0	1
6	0	5	0	214	214	3000	15	1	1
9	0	3	0	203	203	600	16	0	1
10	0	5	0	207	207	60	17	0	1
12	2	5	0	215	215	600	25	0	1
6	0	5	0	193	193	3000	25	8	1
10	0	5	0	194	194	60	25	0	1
0	0	5	0	175	175	600	28	1	1
5	2	5	0	216	216	600	29	1	1
0	0	5	0	202	202	600	31	0	1
2	1	5	0	213	213	600	33	0	1
0	0	5	0	206	206	600	34	0	1
2	1	5	0	210	210	600	35	0	1
4	1	4	0	169	169	60	36	0	1
6	0	5	0	187	187	3000	37	4	1
6	0	5	0	183	183	3000	37	0	1
5	2	5	0	145	145	600	37	1	1
12	2	5	0	166	166	600	37	1	1
9	0	3	0	187	187	600	38	0	1
4	1	4	0	176	176	60	38	0	1
6	0	5	0	214	214	3000	39	9	1
11	0	3	0	175	175	60	40	0	1
1	0	4	0	213	213	60	42	0	1
6	0	5	0	211	211	3000	43	7	1
7	0	4	0	165	165	60	44	0	1
5	2	5	0	185	185	600	45	0	1
8	1	5	0	207	207	60	46	0	1
6	0	5	0	128	128	3000	46	5	1
6	0	5	0	130	130	3000	46	8	1
6	0	5	0	130	130	3000	46	7	1
9	0	3	0	215	215	600	47	0	1
6	0	5	0	213	213	3000	47	3	1
6	0	5	0	173	173	3000	48	3	1
6	0	5	0	202	202	3000	48	6	1
9	0	3	0	215	215	600	49	1	1
3	0	5	0	213	213	600	49	0	1
6	0	5	0	155	155	3000	49	0	1
8	1	5	0	156	156	60	49	0	1
6	0	5	0	214	214	3000	49	4	1
6	0	5	0	197	197	3000	50	9	1
6	0	5	0	137	137	3000	50	5	1
6	0	5	0	123	123	3000	50	4	1
6	0	5	0	112	112	3000	50	8	1
6	0	5	0	130	130	3000	50	0	1
8	1	5	0	138	138	60	50	0	1
6	0	5	0	185	185	3000	51	1	1
0	0	5	0	185	185	600	51	1	1
6	0	5	0	185	185	3000	51	2	1
2	1	5	0	185	185	600	51	0	1
9	0	3	0	151	151	600	51	1	1
6	0	5	0	111	111	3000	51	9	1
11	0	3	0	150	150	60	51	0	1
6	0	5	0	168	168	3000	51	7	1
6	0	5	0	157	157	3000	52	8	1
8	1	5	0	155	155	60	52	0	1
4	1	4	0	164	164	60	52	0	1
2	1	5	0	201	201	600	53	1	1
5	2	5	0	100	100	600	53	0	1
12	2	5	0	198	198	600	53	0	1
6	0	5	0	87	87	3000	0	5	1
6	0	5	0	158	158	3000	1	9	1
0	0	5	0	203	203	600	2	0	1
12	2	5	0	218	218	600	2	0	1
5	2	5	0	193	193	600	13	1	1
3	0	5	0	196	196	600	25	0	1
6	0	5	0	215	215	3000	25	6	1
8	1	5	0	213	213	60	33	0	1
0	0	5	0	196	196	600	37	1	1
6	0	5	0	187	187	3000	37	7	1
3	0	5	0	188	188	600	38	0	1
6	0	5	0	216	216	3000	39	3	1
7	0	4	0	204	204	60	43	0	1
1	0	4	0	159	159	60	44	0	1
6	0	5	0	130	130	3000	46	1	1
3	0	5	0	84	84	600	46	1	1
6	0	5	0	215	215	3000	47	2	1
11	0	3	0	195	195	60	48	0	1
1	0	4	0	215	215	60	49	0	1
6	0	5	0	156	156	3000	49	1	1
0	0	5	0	194	194	600	50	1	1
6	0	5	0	116	116	3000	50	3	1
0	0	5	0	137	137	600	50	0	1
6	0	5	0	160	160	3000	51	6	1
9	0	3	0	133	133	600	51	0	1
6	0	5	0	185	185	3000	51	0	1
6	0	5	0	185	185	3000	51	4	1
7	0	4	0	210	210	60	52	0	1
2	1	5	0	155	155	600	52	1	1
12	2	5	0	176	176	600	53	1	1
11	0	3	0	86	86	60	0	0	1
2	1	5	0	192	192	600	25	1	1
5	2	5	0	159	159	600	37	0	1
6	0	5	0	75	75	3000	38	2	1
2	1	5	0	130	130	600	46	0	1
6	0	5	0	213	213	3000	49	5	1
10	0	5	0	197	197	60	50	0	1
3	0	5	0	138	138	600	50	1	1
3	0	5	0	185	185	600	51	1	1
10	0	5	0	102	102	60	51	0	1
6	0	5	0	210	210	3000	52	6	1
5	2	5	0	181	181	600	53	1	1
3	0	5	0	200	200	600	49	1	1
2	1	5	0	112	112	600	50	1	1
3	0	5	0	177	177	600	51	0	1
19	2	4	18	132	114	2400	0	7	1
20	0	5	18	-1	-19	60	0	0	1
18	0	5	18	-1	-19	3000	0	8	1
18	0	5	18	-1	-19	3000	0	6	1
19	2	4	18	129	111	2400	0	5	1
19	2	4	18	131	113	2400	0	6	1
23	0	4	18	131	113	600	0	1	1
19	2	4	18	147	129	2400	0	4	1
17	2	5	18	235	217	2400	0	0	1
14	1	4	18	232	214	600	1	0	1
19	2	4	18	230	212	2400	1	3	1
21	0	3	18	165	147	2400	1	7	1
18	0	5	18	218	200	3000	2	6	1
18	0	5	18	218	200	3000	2	4	1
15	2	5	18	214	196	600	2	0	1
15	2	5	18	213	195	600	2	1	1
13	1	5	18	235	217	600	4	1	1
18	0	5	18	232	214	3000	10	8	1
18	0	5	18	235	217	3000	10	4	1
13	1	5	18	235	217	600	13	0	1
17	2	5	18	235	217	2400	13	2	1
17	2	5	18	233	215	2400	13	7	1
17	2	5	18	234	216	2400	13	6	1
19	2	4	18	234	216	2400	14	5	1
21	0	3	18	234	216	2400	15	0	1
19	2	4	18	229	211	2400	16	5	1
19	2	4	18	220	202	2400	17	2	1
23	0	4	18	225	207	600	20	1	1
17	2	5	18	235	217	2400	21	1	1
17	2	5	18	233	215	2400	22	0	1
19	2	4	18	228	210	2400	24	2	1
18	0	5	18	197	179	3000	25	9	1
18	0	5	18	196	178	3000	25	3	1
19	2	4	18	214	196	2400	25	5	1
18	0	5	18	227	209	3000	26	2	1
23	0	4	18	216	198	600	28	0	1
23	0	4	18	227	209	600	30	0	1
21	0	3	18	231	213	2400	31	7	1
21	0	3	18	230	212	2400	31	1	1
19	2	4	18	222	204	2400	32	4	1
18	0	5	18	213	195	3000	33	3	1
18	0	5	18	218	200	3000	34	1	1
21	0	3	18	232	214	2400	34	2	1
17	2	5	18	221	203	2400	37	7	1
18	0	5	18	183	165	3000	37	7	1
15	2	5	18	157	139	600	37	1	1
17	2	5	18	166	148	2400	37	6	1
15	2	5	18	172	154	600	37	0	1
19	2	4	18	223	205	2400	37	0	1
19	2	4	18	222	204	2400	37	3	1
23	0	4	18	213	195	600	38	0	1
19	2	4	18	225	207	2400	38	0	1
23	0	4	18	235	217	600	38	1	1
18	0	5	18	231	213	3000	39	8	1
16	0	5	18	225	207	600	39	1	1
19	2	4	18	232	214	2400	40	0	1
19	2	4	18	230	212	2400	41	3	1
19	2	4	18	230	212	2400	41	5	1
16	0	5	18	234	216	600	41	0	1
21	0	3	18	221	203	2400	41	4	1
18	0	5	18	231	213	3000	42	1	1
20	0	5	18	233	215	60	43	0	1
15	2	5	18	218	200	600	45	1	1
18	0	5	18	187	169	3000	46	0	1
18	0	5	18	128	110	3000	46	5	1
20	0	5	18	138	120	60	46	0	1
21	0	3	18	216	198	2400	46	5	1
19	2	4	18	230	212	2400	46	2	1
15	2	5	18	228	210	600	47	0	1
